23847 intern Strings occupying 2787752 bytes.
class_loader	classes	bytes	parent_loader	alive?	type
0x00002b445c848348	15	124496	0x00002b445bf916a0	dead	com/google/inject/internal/BytecodeGen$BridgeClassLoader@0x00002b444d840f18
0x00002b445bfcc7e8	71	759328	0x00002b445bfcc870	dead	java/net/URLClassLoader@0x00002b444b9feea0
0x00002b445c95dd68	1	3080	0x00002b445bf1e288	dead	sun/reflect/DelegatingClassLoader@0x00002b444b8a4048
0x00002b445c958000	1	3080	0x00002b445bde8bb8	dead	sun/reflect/DelegatingClassLoader@0x00002b444b8a4048
0x00002b445c95aaf8	1	3080	0x00002b445be4d708	dead	sun/reflect/DelegatingClassLoader@0x00002b444b8a4048
0x00002b44a6fc8e08	1	3080	0x00002b445bde8bb8	dead	sun/reflect/DelegatingClassLoader@0x00002b444b8a4048
0x00002b445e41daf8	1	3064	0x00002b445bde8bb8	dead	sun/reflect/DelegatingClassLoader@0x00002b444b8a4048
0x00002b445bf1ba60	0	0	0x00002b445bdffee8	dead	hudson/ClassicPluginStrategy$DependencyClassLoader@0x00002b444caccd10
0x00002b445c95b358	1	3080	0x00002b445bfeb978	dead	sun/reflect/DelegatingClassLoader@0x00002b444b8a4048
0x00002b445f60d378	1	3080	0x00002b445bde8bb8	dead	sun/reflect/DelegatingClassLoader@0x00002b444b8a4048
0x00002b445c958888	1	3080	0x00002b445bfeb978	dead	sun/reflect/DelegatingClassLoader@0x00002b444b8a4048
0x00002b445d636530	1	3080	  null  	dead	sun/reflect/DelegatingClassLoader@0x00002b444b8a4048
0x00002b445bf6e990	0	0	0x00002b445bdffee8	dead	hudson/ClassicPluginStrategy$DependencyClassLoader@0x00002b444caccd10
0x00002b445c957690	1	1920	0x00002b445bf6e908	dead	sun/reflect/DelegatingClassLoader@0x00002b444b8a4048
0x00002b445f2a9778	1	3080	  null  	dead	sun/reflect/DelegatingClassLoader@0x00002b444b8a4048
0x00002b445f67ffb0	1	3080	0x00002b445bde8bb8	dead	sun/reflect/DelegatingClassLoader@0x00002b444b8a4048
0x00002b445ddbab50	1	3080	0x00002b445bee3a40	dead	sun/reflect/DelegatingClassLoader@0x00002b444b8a4048
0x00002b445c959110	1	3080	0x00002b445bf1e288	dead	sun/reflect/DelegatingClassLoader@0x00002b444b8a4048
0x00002b445c8d3b78	10	108816	0x00002b445beeca10	dead	com/google/inject/internal/BytecodeGen$BridgeClassLoader@0x00002b444d840f18
0x00002b445bf0ded0	1	1920	  null  	dead	sun/reflect/DelegatingClassLoader@0x00002b444b8a4048
0x00002b445be4d708	104	917680	0x00002b445be4d790	dead	java/net/URLClassLoader@0x00002b444b9feea0
0x00002b445c956788	1	3080	0x00002b445bde8bb8	dead	sun/reflect/DelegatingClassLoader@0x00002b444b8a4048
0x00002b445c8d4cf0	56	447168	0x00002b445bf3bc48	dead	com/google/inject/internal/BytecodeGen$BridgeClassLoader@0x00002b444d840f18
0x00002b445ba486e0	0	0	0x00002b445ba956d0	dead	java/util/ResourceBundle$RBClassLoader@0x00002b444bdbab58
0x00002b44a6f070e8	1	3080	0x00002b445bde8bb8	dead	sun/reflect/DelegatingClassLoader@0x00002b444b8a4048
0x00002b445f30ed88	1	3080	0x00002b445bde8bb8	dead	sun/reflect/DelegatingClassLoader@0x00002b444b8a4048
0x00002b44a701e448	1	3080	0x00002b445bde8bb8	dead	sun/reflect/DelegatingClassLoader@0x00002b444b8a4048
0x00002b445bf8ed10	0	0	0x00002b445bdffee8	dead	hudson/ClassicPluginStrategy$DependencyClassLoader@0x00002b444caccd10
0x00002b445bfcecb0	0	0	0x00002b445bdffee8	dead	hudson/ClassicPluginStrategy$DependencyClassLoader@0x00002b444caccd10
0x00002b445c02d3a0	14	67528	0x00002b445ba956d0	dead	com/thoughtworks/xstream/core/util/CompositeClassLoader@0x00002b444c344828
0x00002b445c95b288	1	1920	0x00002b445bee3a40	dead	sun/reflect/DelegatingClassLoader@0x00002b444b8a4048
0x00002b445bf029a0	41	468224	0x00002b445bf02a28	dead	java/net/URLClassLoader@0x00002b444b9feea0
0x00002b445d3361f0	1	3080	0x00002b445be5c520	dead	sun/reflect/DelegatingClassLoader@0x00002b444b8a4048
0x00002b44a7066a38	1	3080	0x00002b445bde8bb8	dead	sun/reflect/DelegatingClassLoader@0x00002b444b8a4048
0x00002b445f30d7b8	1	3080	  null  	dead	sun/reflect/DelegatingClassLoader@0x00002b444b8a4048
0x00002b445c959860	1	3080	0x00002b445bf1e288	dead	sun/reflect/DelegatingClassLoader@0x00002b444b8a4048
0x00002b445be9a388	0	0	0x00002b445bdffee8	dead	hudson/ClassicPluginStrategy$DependencyClassLoader@0x00002b444caccd10
0x00002b445f2cc740	1	3080	0x00002b445bde8bb8	dead	sun/reflect/DelegatingClassLoader@0x00002b444b8a4048
0x00002b445c8d7e50	8	87776	0x00002b445bfc8f20	dead	com/google/inject/internal/BytecodeGen$BridgeClassLoader@0x00002b444d840f18
0x00002b445c958958	1	3080	0x00002b445bf05330	dead	sun/reflect/DelegatingClassLoader@0x00002b444b8a4048
0x00002b445f5d4350	1	3080	0x00002b445bee62d0	dead	sun/reflect/DelegatingClassLoader@0x00002b444b8a4048
0x00002b445bf38ca8	0	0	0x00002b445bdffee8	dead	hudson/ClassicPluginStrategy$DependencyClassLoader@0x00002b444caccd10
0x00002b445e267860	1	1920	0x00002b445bde8bb8	dead	sun/reflect/DelegatingClassLoader@0x00002b444b8a4048
0x00002b445c956ed8	1	3080	0x00002b445befac08	dead	sun/reflect/DelegatingClassLoader@0x00002b444b8a4048
0x00002b445c8d3aa8	16	144104	0x00002b445bfe6af8	dead	com/google/inject/internal/BytecodeGen$BridgeClassLoader@0x00002b444d840f18
