
 num     #instances         #bytes  class name
 320:            80           8960  hudson.remoting.MultiClassLoaderSerializer$Output
 321:           186           8928  org.sonatype.guice.plexus.annotations.RequirementImpl
 322:           139           8896  hudson.model.queue.MappingWorksheet$WorkChunk
 323:           221           8840  antlr.CommonToken
 324:            84           8736  hudson.PluginWrapper
 325:           311           8672  [Ljava.lang.reflect.TypeVariable;
 326:            89           8544  java.text.DateFormatSymbols
 327:           151           8456  sun.reflect.generics.reflectiveObjects.TypeVariableImpl
 328:           352           8448  sun.reflect.DelegatingConstructorAccessorImpl
 329:            36           8352  com.tikal.jenkins.plugins.multijob.MultiJobProject
 330:             4           8288  [Ljava.util.logging.LogRecord;
 331:           221           8280  [Lhudson.plugins.plot.Series;
 332:             3           8264  [Lorg.codehaus.groovy.runtime.metaclass.MetaMethodIndex$Entry;
 333:           129           8232  [Ljava.security.ProtectionDomain;
 334:           127           8128  hudson.model.MultiStageTimeSeries
 335:            78           8112  com.google.inject.internal.BytecodeGen$BridgeClassLoader
 336:           100           8000  java.beans.BeanDescriptor
 337:           139           7784  com.trilead.ssh2.crypto.digest.MD5
 338:           139           7784  java.net.SocketTimeoutException
 339:           108           7776  org.apache.commons.beanutils.converters.ArrayConverter
 340:            80           7680  hudson.remoting.UserRequest
 341:            96           7680  java.io.ObjectInputStream$BlockDataInputStream
 342:           316           7584  org.sonatype.guice.bean.reflect.BeanPropertyField
 343:           311           7464  hudson.scm.NullSCM
 344:           228           7296  <compiledICHolderKlass>
 345:           138           7280  [Lorg.sonatype.guice.bean.inject.PropertyBinding;
 346:           224           7168  hudson.remoting.UnexportCommand
 347:            99           7128  com.google.common.collect.MapMakerInternalMap$WeakEntry
 348:            89           7120  sun.nio.cs.UTF_8$Encoder
 349:            80           7040  hudson.remoting.MultiClassLoaderSerializer$Input
 350:           176           7040  java.util.LinkedList
 351:           125           7000  sun.misc.URLClassPath
 352:            67           6968  hudson.scm.CVSSCM
 353:            87           6960  java.util.ResourceBundle$CacheKey
 354:           217           6944  java.io.FilePermissionCollection
 355:           288           6912  [Ljava.security.Principal;
 356:           288           6912  org.jenkinsci.plugins.database.DatabaseConsole
 357:            41           6880  [[I
 358:           122           6832  sun.reflect.generics.reflectiveObjects.WildcardTypeImpl
 359:           140           6720  java.security.AccessControlContext
 360:           139           6672  hudson.util.Iterators$DuplicateFilterIterator
 361:           139           6672  com.tikal.jenkins.plugins.multijob.PhaseJobsConfig
 362:           139           6672  hudson.util.ConsistentHash
 363:           278           6672  [Lhudson.util.ConsistentHash$Point;
 364:           118           6608  org.codehaus.groovy.ast.stmt.ReturnStatement
 365:           137           6576  hudson.remoting.ExportTable$Entry
 366:           137           6576  java.lang.Exception
 367:           164           6560  java.util.Stack
 368:           136           6528  org.kohsuke.stapler.MetaClass$6
 369:            13           6448  [Ljavax.jmdns.impl.constants.DNSRecordType;
 370:            67           6432  sun.nio.cs.StreamEncoder
 371:           267           6408  java.lang.Short
 372:           100           6400  java.beans.GenericBeanInfo
 373:            88           6336  sun.java2d.loops.MaskBlit
 374:            66           6336  java.util.regex.Pattern
 375:           157           6280  sun.security.util.ObjectIdentifier
 376:           112           6272  com.thoughtworks.xstream.core.util.Pool
 377:           111           6216  org.codehaus.groovy.classgen.asm.MethodCaller
 378:            96           6144  java.io.ObjectOutputStream$BlockDataOutputStream
 379:            68           5984  java.util.concurrent.FutureTask$Sync
 380:             2           5968  [Lsun.java2d.loops.GraphicsPrimitive;
 381:            93           5952  java.text.DigitList
 382:           123           5904  java.util.regex.Pattern$Curly
 383:            61           5856  hudson.plugins.emailext.ExtendedEmailPublisher
 384:           182           5824  java.util.Collections$UnmodifiableRandomAccessList
 385:           241           5784  java.lang.Double
 386:           102           5712  com.thoughtworks.xstream.converters.reflection.SerializableConverter
 387:           142           5680  java.net.InetAddress
 388:           142           5680  java.util.regex.Pattern$6
 389:           100           5600  java.util.concurrent.SynchronousQueue$TransferStack$SNode
 390:           139           5560  hudson.model.queue.MappingWorksheet
 391:           139           5560  hudson.plugins.disk_usage.DiskUsageOvearallGraphGenerator$DiskUsageRecord
 392:           139           5560  hudson.plugins.disk_usage.DiskUsageOvearallGraphGenerator$DiskUsageRecord$1
 393:           139           5560  com.tikal.jenkins.plugins.multijob.MultiJobBuilder$1
 394:           139           5560  hudson.util.ConsistentHash$Table
 395:            96           5376  java.io.DataInputStream
 396:            67           5360  org.codehaus.groovy.ast.GenericsType
 397:           167           5344  java.util.concurrent.LinkedBlockingQueue$Node
 398:             8           5344  [[Ljava.lang.String;
 399:            23           5336  org.springframework.beans.factory.support.RootBeanDefinition
 400:            60           5280  hudson.plugins.copyartifact.CopyArtifact
 401:           132           5280  java.io.FileOutputStream
 402:           211           5064  org.apache.commons.beanutils.converters.ConverterFacade
 403:           207           4968  com.google.inject.Key$AnnotationInstanceStrategy
 404:           206           4944  com.google.inject.name.NamedImpl
 405:           205           4920  org.codehaus.groovy.ast.ClassNode$MapOfLists
 406:            68           4896  org.jvnet.localizer.ResourceBundleHolder$ResourceBundleImpl
 407:            87           4872  java.util.ResourceBundle$LoaderReference
 408:           151           4832  sun.reflect.generics.tree.FormalTypeParameter
 409:            67           4824  hudson.scm.CvsRepository
 410:           201           4824  org.kohsuke.stapler.CachingScriptLoader$1
 411:            67           4824  org.kohsuke.stapler.MetaClass
 412:            86           4816  java.util.Collections$SynchronizedMap
 413:           150           4800  hudson.model.ParametersDefinitionProperty
 414:           199           4776  hudson.tasks.Shell
 415:            85           4760  groovy.lang.MetaBeanProperty
 416:            99           4752  sun.reflect.UnsafeQualifiedStaticObjectFieldAccessorImpl
 417:           148           4736  org.sonatype.guice.plexus.annotations.ConfigurationImpl
 418:             8           4608  <typeArrayKlassKlass>
 419:            96           4608  java.io.DataOutputStream
 420:            96           4608  java.io.ObjectInputStream$HandleTable
 421:           190           4560  com.thoughtworks.xstream.converters.reflection.SerializableConverter$UnserializableParentsReflectionProvider
 422:            63           4536  java.io.BufferedWriter
 423:            81           4536  com.google.common.collect.MapMakerInternalMap$WeakValueReference
