INFO   | jvm 1    | 2014/01/30 12:52:01 | [INFO] SVN checkout directory: /opt/jenkins/bin/../data/scm-sync-configuration/checkoutConfiguration
INFO   | jvm 1    | 2014/01/30 12:52:04 | 30.01.2014 12:52:04 hudson.plugins.scm_sync_configuration.ScmSyncConfigurationBusiness initializeRepository
INFO   | jvm 1    | 2014/01/30 12:52:04 | INFO: SCM repository initialization done.
INFO   | jvm 1    | 2014/01/30 12:52:04 | 30.01.2014 12:52:04 hudson.WebAppMain$3 run
INFO   | jvm 1    | 2014/01/30 12:52:04 | INFO: Jenkins is fully up and running
INFO   | jvm 1    | 2014/01/30 12:52:11 | 30.01.2014 12:52:11 hudson.TcpSlaveAgentListener$ConnectionHandler run
INFO   | jvm 1    | 2014/01/30 12:52:11 | INFO: Accepted connection #1 from /10.7.6.206:63663
INFO   | jvm 1    | 2014/01/30 13:47:26 | 30.01.2014 13:47:26 hudson.model.Run execute
INFO   | jvm 1    | 2014/01/30 13:47:26 | INFO: Flink - Starte Deployment Pipeline - Trunk #573 main build action completed: SUCCESS
INFO   | jvm 1    | 2014/01/30 13:48:43 | 30.01.2014 13:48:43 hudson.model.Run execute
INFO   | jvm 1    | 2014/01/30 13:48:43 | INFO: Flink - Datenbank aktualisieren #4160 main build action completed: SUCCESS
INFO   | jvm 1    | 2014/01/30 13:58:56 | 30.01.2014 13:58:56 hudson.model.Run execute
INFO   | jvm 1    | 2014/01/30 13:58:56 | INFO: Flink_-_Kompilieren_und_JUnitTests_ausfuehren #618 main build action completed: UNSTABLE
INFO   | jvm 1    | 2014/01/30 14:28:46 | 30.01.2014 14:28:46 hudson.triggers.SCMTrigger$Runner run
INFO   | jvm 1    | 2014/01/30 14:28:46 | INFO: SCM changes detected in Flink - Starte Deployment Pipeline - Trunk. Triggering  #574
INFO   | jvm 1    | 2014/01/30 14:29:07 | 30.01.2014 14:29:07 hudson.model.Run execute
INFO   | jvm 1    | 2014/01/30 14:29:07 | INFO: Flink - Starte Deployment Pipeline - Trunk #574 main build action completed: SUCCESS
INFO   | jvm 1    | 2014/01/30 14:30:14 | 30.01.2014 14:30:14 hudson.model.Run execute
INFO   | jvm 1    | 2014/01/30 14:30:14 | INFO: Flink - Datenbank aktualisieren #4161 main build action completed: SUCCESS
